Feature,Category
ORIGIN_AIRPORT_ID,11290
ORIGIN_AIRPORT_ID,11292
ORIGIN_AIRPORT_ID,11298
ORIGIN_AIRPORT_ID,11301
ORIGIN_AIRPORT_ID,11308
ORIGIN_AIRPORT_ID,11315
ORIGIN_AIRPORT_ID,11332
ORIGIN_AIRPORT_ID,11336
ORIGIN_AIRPORT_ID,11337
ORIGIN_AIRPORT_ID,11345
ORIGIN_AIRPORT_ID,11348
ORIGIN_AIRPORT_ID,11367
ORIGIN_AIRPORT_ID,11369
ORIGIN_AIRPORT_ID,11372
ORIGIN_AIRPORT_ID,11392
ORIGIN_AIRPORT_ID,11411
ORIGIN_AIRPORT_ID,11413
ORIGIN_AIRPORT_ID,11415
ORIGIN_AIRPORT_ID,11421
ORIGIN_AIRPORT_ID,11423
ORIGIN_AIRPORT_ID,11431
ORIGIN_AIRPORT_ID,11433
ORIGIN_AIRPORT_ID,11435
ORIGIN_AIRPORT_ID,11441
ORIGIN_AIRPORT_ID,11444
ORIGIN_AIRPORT_ID,11445
ORIGIN_AIRPORT_ID,11447
ORIGIN_AIRPORT_ID,11453
ORIGIN_AIRPORT_ID,11455
ORIGIN_AIRPORT_ID,11463
ORIGIN_AIRPORT_ID,11468
ORIGIN_AIRPORT_ID,11470
ORIGIN_AIRPORT_ID,11471
ORIGIN_AIRPORT_ID,11481
ORIGIN_AIRPORT_ID,11484
ORIGIN_AIRPORT_ID,11488
ORIGIN_AIRPORT_ID,11492
ORIGIN_AIRPORT_ID,11495
ORIGIN_AIRPORT_ID,11503
ORIGIN_AIRPORT_ID,11511
ORIGIN_AIRPORT_ID,11512
ORIGIN_AIRPORT_ID,11519
ORIGIN_AIRPORT_ID,11525
ORIGIN_AIRPORT_ID,11531
ORIGIN_AIRPORT_ID,11534
ORIGIN_AIRPORT_ID,11535
ORIGIN_AIRPORT_ID,11537
ORIGIN_AIRPORT_ID,11540
ORIGIN_AIRPORT_ID,11545
ORIGIN_AIRPORT_ID,11547
ORIGIN_AIRPORT_ID,11550
ORIGIN_AIRPORT_ID,11555
ORIGIN_AIRPORT_ID,11559
ORIGIN_AIRPORT_ID,11577
ORIGIN_AIRPORT_ID,11587
ORIGIN_AIRPORT_ID,11588
ORIGIN_AIRPORT_ID,11603
ORIGIN_AIRPORT_ID,11612
ORIGIN_AIRPORT_ID,11615
ORIGIN_AIRPORT_ID,11617
ORIGIN_AIRPORT_ID,11618
ORIGIN_AIRPORT_ID,11619
ORIGIN_AIRPORT_ID,11624
ORIGIN_AIRPORT_ID,11625
ORIGIN_AIRPORT_ID,11630
ORIGIN_AIRPORT_ID,11637
ORIGIN_AIRPORT_ID,11638
ORIGIN_AIRPORT_ID,11641
ORIGIN_AIRPORT_ID,11646
ORIGIN_AIRPORT_ID,11648
ORIGIN_AIRPORT_ID,11651
ORIGIN_AIRPORT_ID,11654
ORIGIN_AIRPORT_ID,11671
ORIGIN_AIRPORT_ID,11684
ORIGIN_AIRPORT_ID,11695
ORIGIN_AIRPORT_ID,11697
ORIGIN_AIRPORT_ID,11699
ORIGIN_AIRPORT_ID,11711
ORIGIN_AIRPORT_ID,11716
ORIGIN_AIRPORT_ID,11719
ORIGIN_AIRPORT_ID,11720
ORIGIN_AIRPORT_ID,11721
ORIGIN_AIRPORT_ID,11724
ORIGIN_AIRPORT_ID,11725
ORIGIN_AIRPORT_ID,11726
ORIGIN_AIRPORT_ID,11730
ORIGIN_AIRPORT_ID,11731
ORIGIN_AIRPORT_ID,11760
ORIGIN_AIRPORT_ID,11762
ORIGIN_AIRPORT_ID,11764
ORIGIN_AIRPORT_ID,11775
ORIGIN_AIRPORT_ID,11778
ORIGIN_AIRPORT_ID,11793
ORIGIN_AIRPORT_ID,11823
ORIGIN_AIRPORT_ID,11827
ORIGIN_AIRPORT_ID,11833
ORIGIN_AIRPORT_ID,11844
ORIGIN_AIRPORT_ID,11845
ORIGIN_AIRPORT_ID,11856
ORIGIN_AIRPORT_ID,11859
ORIGIN_AIRPORT_ID,11865
ORIGIN_AIRPORT_ID,11867
ORIGIN_AIRPORT_ID,11868
ORIGIN_AIRPORT_ID,11869
ORIGIN_AIRPORT_ID,11874
ORIGIN_AIRPORT_ID,11879
ORIGIN_AIRPORT_ID,11884
ORIGIN_AIRPORT_ID,11888
ORIGIN_AIRPORT_ID,11898
ORIGIN_AIRPORT_ID,11905
ORIGIN_AIRPORT_ID,11907
ORIGIN_AIRPORT_ID,11910
ORIGIN_AIRPORT_ID,11911
ORIGIN_AIRPORT_ID,11915
ORIGIN_AIRPORT_ID,11921
ORIGIN_AIRPORT_ID,11924
ORIGIN_AIRPORT_ID,11928
ORIGIN_AIRPORT_ID,11931
ORIGIN_AIRPORT_ID,11941
ORIGIN_AIRPORT_ID,11950
ORIGIN_AIRPORT_ID,11952
ORIGIN_AIRPORT_ID,11953
ORIGIN_AIRPORT_ID,11961
ORIGIN_AIRPORT_ID,11973
ORIGIN_AIRPORT_ID,11977
ORIGIN_AIRPORT_ID,11980
ORIGIN_AIRPORT_ID,11982
ORIGIN_AIRPORT_ID,11986
ORIGIN_AIRPORT_ID,11988
ORIGIN_AIRPORT_ID,11995
ORIGIN_AIRPORT_ID,11996
ORIGIN_AIRPORT_ID,11997
ORIGIN_AIRPORT_ID,12003
ORIGIN_AIRPORT_ID,12007
ORIGIN_AIRPORT_ID,12010
ORIGIN_AIRPORT_ID,12012
ORIGIN_AIRPORT_ID,12016
ORIGIN_AIRPORT_ID,12018
ORIGIN_AIRPORT_ID,12026
ORIGIN_AIRPORT_ID,12051
ORIGIN_AIRPORT_ID,12052
ORIGIN_AIRPORT_ID,12055
ORIGIN_AIRPORT_ID,12066
ORIGIN_AIRPORT_ID,12073
ORIGIN_AIRPORT_ID,12087
ORIGIN_AIRPORT_ID,12094
ORIGIN_AIRPORT_ID,12101
ORIGIN_AIRPORT_ID,12115
ORIGIN_AIRPORT_ID,12119
ORIGIN_AIRPORT_ID,12124
ORIGIN_AIRPORT_ID,12127
ORIGIN_AIRPORT_ID,12129
ORIGIN_AIRPORT_ID,12133
ORIGIN_AIRPORT_ID,12141
ORIGIN_AIRPORT_ID,12143
ORIGIN_AIRPORT_ID,12156
ORIGIN_AIRPORT_ID,12164
ORIGIN_AIRPORT_ID,12169
ORIGIN_AIRPORT_ID,12171
ORIGIN_AIRPORT_ID,12173
ORIGIN_AIRPORT_ID,12174
ORIGIN_AIRPORT_ID,12175
ORIGIN_AIRPORT_ID,12177
ORIGIN_AIRPORT_ID,12180
ORIGIN_AIRPORT_ID,12184
ORIGIN_AIRPORT_ID,12185
ORIGIN_AIRPORT_ID,12190
ORIGIN_AIRPORT_ID,12191
ORIGIN_AIRPORT_ID,12195
ORIGIN_AIRPORT_ID,12197
ORIGIN_AIRPORT_ID,12206
ORIGIN_AIRPORT_ID,12207
ORIGIN_AIRPORT_ID,12214
ORIGIN_AIRPORT_ID,12217
ORIGIN_AIRPORT_ID,12223
ORIGIN_AIRPORT_ID,12235
ORIGIN_AIRPORT_ID,12239
ORIGIN_AIRPORT_ID,12244
ORIGIN_AIRPORT_ID,12245
ORIGIN_AIRPORT_ID,12250
ORIGIN_AIRPORT_ID,12252
ORIGIN_AIRPORT_ID,12253
ORIGIN_AIRPORT_ID,12255
ORIGIN_AIRPORT_ID,12264
ORIGIN_AIRPORT_ID,12265
ORIGIN_AIRPORT_ID,12266
ORIGIN_AIRPORT_ID,12268
ORIGIN_AIRPORT_ID,12277
ORIGIN_AIRPORT_ID,12278
ORIGIN_AIRPORT_ID,12280
ORIGIN_AIRPORT_ID,12294
ORIGIN_AIRPORT_ID,12297
ORIGIN_AIRPORT_ID,12315
ORIGIN_AIRPORT_ID,12320
ORIGIN_AIRPORT_ID,12321
ORIGIN_AIRPORT_ID,12323
ORIGIN_AIRPORT_ID,12335
ORIGIN_AIRPORT_ID,12339
ORIGIN_AIRPORT_ID,12343
ORIGIN_AIRPORT_ID,12363
ORIGIN_AIRPORT_ID,12365
ORIGIN_AIRPORT_ID,12370
ORIGIN_AIRPORT_ID,12375
ORIGIN_AIRPORT_ID,12389
ORIGIN_AIRPORT_ID,12390
ORIGIN_AIRPORT_ID,12391
ORIGIN_AIRPORT_ID,12395
ORIGIN_AIRPORT_ID,12397
ORIGIN_AIRPORT_ID,12402
ORIGIN_AIRPORT_ID,12412
ORIGIN_AIRPORT_ID,12436
ORIGIN_AIRPORT_ID,12441
ORIGIN_AIRPORT_ID,12448
ORIGIN_AIRPORT_ID,12451
ORIGIN_AIRPORT_ID,12455
ORIGIN_AIRPORT_ID,12472
ORIGIN_AIRPORT_ID,12478
ORIGIN_AIRPORT_ID,12492
ORIGIN_AIRPORT_ID,12494
ORIGIN_AIRPORT_ID,12511
ORIGIN_AIRPORT_ID,12519
ORIGIN_AIRPORT_ID,12520
ORIGIN_AIRPORT_ID,12523
ORIGIN_AIRPORT_ID,12544
ORIGIN_AIRPORT_ID,12549
ORIGIN_AIRPORT_ID,12553
ORIGIN_AIRPORT_ID,12559
ORIGIN_AIRPORT_ID,12610
ORIGIN_AIRPORT_ID,12615
ORIGIN_AIRPORT_ID,12621
ORIGIN_AIRPORT_ID,12627
ORIGIN_AIRPORT_ID,12633
ORIGIN_AIRPORT_ID,12635
ORIGIN_AIRPORT_ID,12638
ORIGIN_AIRPORT_ID,12641
ORIGIN_AIRPORT_ID,12649
ORIGIN_AIRPORT_ID,12651
ORIGIN_AIRPORT_ID,12652
ORIGIN_AIRPORT_ID,12653
ORIGIN_AIRPORT_ID,12663
ORIGIN_AIRPORT_ID,12671
ORIGIN_AIRPORT_ID,12676
ORIGIN_AIRPORT_ID,12681
ORIGIN_AIRPORT_ID,12693
ORIGIN_AIRPORT_ID,12699
ORIGIN_AIRPORT_ID,12704
ORIGIN_AIRPORT_ID,12705
ORIGIN_AIRPORT_ID,12708
ORIGIN_AIRPORT_ID,12709
ORIGIN_AIRPORT_ID,12719
ORIGIN_AIRPORT_ID,12720
ORIGIN_AIRPORT_ID,12721
ORIGIN_AIRPORT_ID,12728
ORIGIN_AIRPORT_ID,12737
ORIGIN_AIRPORT_ID,12743
ORIGIN_AIRPORT_ID,12748
ORIGIN_AIRPORT_ID,12755
ORIGIN_AIRPORT_ID,12758
ORIGIN_AIRPORT_ID,12769
ORIGIN_AIRPORT_ID,12771
ORIGIN_AIRPORT_ID,12772
ORIGIN_AIRPORT_ID,12773
ORIGIN_AIRPORT_ID,12774
ORIGIN_AIRPORT_ID,12779
ORIGIN_AIRPORT_ID,12782
ORIGIN_AIRPORT_ID,12784
ORIGIN_AIRPORT_ID,12785
ORIGIN_AIRPORT_ID,12789
ORIGIN_AIRPORT_ID,12807
ORIGIN_AIRPORT_ID,12815
ORIGIN_AIRPORT_ID,12819
ORIGIN_AIRPORT_ID,12822
ORIGIN_AIRPORT_ID,12831
ORIGIN_AIRPORT_ID,12841
ORIGIN_AIRPORT_ID,12844
ORIGIN_AIRPORT_ID,12849
ORIGIN_AIRPORT_ID,12851
ORIGIN_AIRPORT_ID,12853
ORIGIN_AIRPORT_ID,12854
ORIGIN_AIRPORT_ID,12855
ORIGIN_AIRPORT_ID,12857
ORIGIN_AIRPORT_ID,12866
ORIGIN_AIRPORT_ID,12868
ORIGIN_AIRPORT_ID,12869
ORIGIN_AIRPORT_ID,12878
ORIGIN_AIRPORT_ID,12882
ORIGIN_AIRPORT_ID,12883
ORIGIN_AIRPORT_ID,12884
ORIGIN_AIRPORT_ID,12888
ORIGIN_AIRPORT_ID,12889
ORIGIN_AIRPORT_ID,12891
ORIGIN_AIRPORT_ID,12892
ORIGIN_AIRPORT_ID,12896
ORIGIN_AIRPORT_ID,12898
ORIGIN_AIRPORT_ID,12899
ORIGIN_AIRPORT_ID,12900
ORIGIN_AIRPORT_ID,12902
ORIGIN_AIRPORT_ID,12915
ORIGIN_AIRPORT_ID,12917
ORIGIN_AIRPORT_ID,12932
ORIGIN_AIRPORT_ID,12945
ORIGIN_AIRPORT_ID,12951
ORIGIN_AIRPORT_ID,12952
ORIGIN_AIRPORT_ID,12953
ORIGIN_AIRPORT_ID,12954
ORIGIN_AIRPORT_ID,12966
ORIGIN_AIRPORT_ID,12972
ORIGIN_AIRPORT_ID,12982
ORIGIN_AIRPORT_ID,12983
ORIGIN_AIRPORT_ID,12986
ORIGIN_AIRPORT_ID,12990
ORIGIN_AIRPORT_ID,12991
ORIGIN_AIRPORT_ID,12992
ORIGIN_AIRPORT_ID,13002
ORIGIN_AIRPORT_ID,13016
ORIGIN_AIRPORT_ID,13024
ORIGIN_AIRPORT_ID,13029
ORIGIN_AIRPORT_ID,13032
ORIGIN_AIRPORT_ID,13034
ORIGIN_AIRPORT_ID,13043
ORIGIN_AIRPORT_ID,13055
ORIGIN_AIRPORT_ID,13057
ORIGIN_AIRPORT_ID,13061
ORIGIN_AIRPORT_ID,13068
ORIGIN_AIRPORT_ID,13076
ORIGIN_AIRPORT_ID,13095
ORIGIN_AIRPORT_ID,13105
ORIGIN_AIRPORT_ID,13109
ORIGIN_AIRPORT_ID,13111
ORIGIN_AIRPORT_ID,13121
ORIGIN_AIRPORT_ID,13127
ORIGIN_AIRPORT_ID,13128
ORIGIN_AIRPORT_ID,13139
ORIGIN_AIRPORT_ID,13156
ORIGIN_AIRPORT_ID,13158
ORIGIN_AIRPORT_ID,13162
ORIGIN_AIRPORT_ID,13165
ORIGIN_AIRPORT_ID,13166
ORIGIN_AIRPORT_ID,13169
ORIGIN_AIRPORT_ID,13176
ORIGIN_AIRPORT_ID,13180
ORIGIN_AIRPORT_ID,13182
ORIGIN_AIRPORT_ID,13184
ORIGIN_AIRPORT_ID,13194
ORIGIN_AIRPORT_ID,13196
ORIGIN_AIRPORT_ID,13198
ORIGIN_AIRPORT_ID,13200
ORIGIN_AIRPORT_ID,13203
ORIGIN_AIRPORT_ID,13204
ORIGIN_AIRPORT_ID,13211
ORIGIN_AIRPORT_ID,13218
ORIGIN_AIRPORT_ID,13230
ORIGIN_AIRPORT_ID,13232
ORIGIN_AIRPORT_ID,13241
ORIGIN_AIRPORT_ID,13243
ORIGIN_AIRPORT_ID,13244
